Species,Sign,Reaction,Rate_Expression,,species_name,leading_sign,expression,,,,,,,,,,,,,,
AB40_Oligomer07,-,AB40_Oligomer08_plaque_catalyzed_formation,k_O7_O8_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer07*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Oligomer07,-,(AB40_Oligomer07 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Oligomer07,-,AB40_Oligomer07_to_PVS,(1 - sigma_ISF_ABeta40_oligomer07)*Q_PVS*AB40_Oligomer07,,AB40_Oligomer07,-,((1 - sigma_ISF_ABeta40_oligomer07) * Q_PVS * AB40_Oligomer07 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Oligomer07_Antibody_bound,+,AB40_Oligomer07_antibody_binding,fta1*AB40_Oligomer07*Ab_t*VIS_brain,,AB40_Oligomer07_Antibody_bound,-,(AB40_Oligomer07_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Oligomer07_Antibody_bound,-,AB40_Oligomer07_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Oligomer07_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Oligomer07_Antibody_bound,+,fta1 * Antibody_unbound_ISF * AB40_Oligomer07,,,,,,,,,,,,,,
AB40_Oligomer07_PVS,+,AB40_Oligomer07_to_PVS,(1 - sigma_ISF_ABeta40_oligomer07)*Q_PVS*AB40_Oligomer07,,AB40_Oligomer07_PVS,-,(fta1 * C_Antibody_unbound_PVS * AB40_Oligomer07_PVS),,,,,,,,,,,,,,
AB40_Oligomer07_PVS,-,AB40_Oligomer07_PVS_binding,fta1*AB40_Oligomer07_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Oligomer07_PVS,+,(1 - sigma_ISF_ABeta40_oligomer07) * Q_PVS * AB40_Oligomer07 / V_PVS,,,,,,,,,,,,,,
AB40_Oligomer07_PVS,-,AB40_Oligomer07_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Oligomer07_PVS,,AB40_Oligomer07_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Oligomer07_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Oligomer07_PVS_bound,+,AB40_Oligomer07_PVS_binding,fta1*AB40_Oligomer07_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Oligomer07_PVS_bound,+,fta1 * C_Antibody_unbound_PVS * AB40_Oligomer07_PVS,,,,,,,,,,,,,,
AB40_Oligomer07_PVS_bound,-,AB40_Oligomer07_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Oligomer07_PVS_bound,,AB40_Oligomer07_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Oligomer07_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Oligomer08,+,AB40_Oligomer08_formation,k_O7_O8_forty*AB40_Oligomer07*AB40_Monomer*VIS_brain,,AB40_Oligomer08,+,k_O7_O8_forty * AB40_Monomer * AB40_Oligomer07,,,,,,,,,,,,,,
AB40_Oligomer08,-,AB40_Oligomer08_dissociation,k_O8_O7_forty*AB40_Oligomer08*VIS_brain,,AB40_Oligomer08,-,(k_O8_O7_forty * AB40_Oligomer08),,,,,,,,,,,,,,
AB40_Oligomer08,+,AB40_Oligomer08_plaque_catalyzed_formation,k_O7_O8_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer07*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Oligomer08,-,(k_O8_O9_forty * AB40_Monomer * AB40_Oligomer08),,,,,,,,,,,,,,
AB40_Oligomer08,-,AB40_Oligomer08_antibody_binding,fta1*AB40_Oligomer08*Ab_t*VIS_brain,,AB40_Oligomer08,+,k_O9_O8_forty * AB40_Oligomer09,,,,,,,,,,,,,,
AB40_Oligomer08,-,AB40_Oligomer08_microglia_clearance,Microglia_Vmax_forty*AB40_Oligomer08*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Oligomer08,+,k_O7_O8_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer07 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50)),,,,,,,,,,,,,,
AB40_Oligomer08,-,AB40_Oligomer09_formation,k_O8_O9_forty*AB40_Oligomer08*AB40_Monomer*VIS_brain,,AB40_Oligomer08,-,(fta1 * Antibody_unbound_ISF * AB40_Oligomer08),,,,,,,,,,,,,,
AB40_Oligomer08,+,AB40_Oligomer09_dissociation,k_O9_O8_forty*AB40_Oligomer09*VIS_brain,,AB40_Oligomer08,-,(k_O8_O9_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer08 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Oligomer08,-,AB40_Oligomer09_plaque_catalyzed_formation,k_O8_O9_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer08*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Oligomer08,-,(AB40_Oligomer08 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Oligomer08,-,AB40_Oligomer08_to_PVS,(1 - sigma_ISF_ABeta40_oligomer08)*Q_PVS*AB40_Oligomer08,,AB40_Oligomer08,-,((1 - sigma_ISF_ABeta40_oligomer08) * Q_PVS * AB40_Oligomer08 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Oligomer08_Antibody_bound,+,AB40_Oligomer08_antibody_binding,fta1*AB40_Oligomer08*Ab_t*VIS_brain,,AB40_Oligomer08_Antibody_bound,-,(AB40_Oligomer08_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Oligomer08_Antibody_bound,-,AB40_Oligomer08_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Oligomer08_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Oligomer08_Antibody_bound,+,fta1 * Antibody_unbound_ISF * AB40_Oligomer08,,,,,,,,,,,,,,
AB40_Oligomer08_PVS,+,AB40_Oligomer08_to_PVS,(1 - sigma_ISF_ABeta40_oligomer08)*Q_PVS*AB40_Oligomer08,,AB40_Oligomer08_PVS,-,(fta1 * C_Antibody_unbound_PVS * AB40_Oligomer08_PVS),,,,,,,,,,,,,,
AB40_Oligomer08_PVS,-,AB40_Oligomer08_PVS_binding,fta1*AB40_Oligomer08_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Oligomer08_PVS,+,(1 - sigma_ISF_ABeta40_oligomer08) * Q_PVS * AB40_Oligomer08 / V_PVS,,,,,,,,,,,,,,
AB40_Oligomer08_PVS,-,AB40_Oligomer08_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Oligomer08_PVS,,AB40_Oligomer08_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Oligomer08_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Oligomer08_PVS_bound,+,AB40_Oligomer08_PVS_binding,fta1*AB40_Oligomer08_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Oligomer08_PVS_bound,+,fta1 * C_Antibody_unbound_PVS * AB40_Oligomer08_PVS,,,,,,,,,,,,,,
AB40_Oligomer08_PVS_bound,-,AB40_Oligomer08_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Oligomer08_PVS_bound,,AB40_Oligomer08_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Oligomer08_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Oligomer09,+,AB40_Oligomer09_formation,k_O8_O9_forty*AB40_Oligomer08*AB40_Monomer*VIS_brain,,AB40_Oligomer09,+,k_O8_O9_forty * AB40_Monomer * AB40_Oligomer08,,,,,,,,,,,,,,
AB40_Oligomer09,-,AB40_Oligomer09_dissociation,k_O9_O8_forty*AB40_Oligomer09*VIS_brain,,AB40_Oligomer09,-,(k_O9_O8_forty * AB40_Oligomer09),,,,,,,,,,,,,,
AB40_Oligomer09,+,AB40_Oligomer09_plaque_catalyzed_formation,k_O8_O9_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer08*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Oligomer09,-,(k_O9_O10_forty * AB40_Monomer * AB40_Oligomer09),,,,,,,,,,,,,,
AB40_Oligomer09,-,AB40_Oligomer09_antibody_binding,fta1*AB40_Oligomer09*Ab_t*VIS_brain,,AB40_Oligomer09,+,k_O10_O9_forty * AB40_Oligomer10,,,,,,,,,,,,,,
AB40_Oligomer09,-,AB40_Oligomer09_microglia_clearance,Microglia_Vmax_forty*AB40_Oligomer09*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Oligomer09,+,k_O8_O9_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer08 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50)),,,,,,,,,,,,,,
AB40_Oligomer09,-,AB40_Oligomer10_formation,k_O9_O10_forty*AB40_Oligomer09*AB40_Monomer*VIS_brain,,AB40_Oligomer09,-,(fta1 * Antibody_unbound_ISF * AB40_Oligomer09),,,,,,,,,,,,,,
AB40_Oligomer09,+,AB40_Oligomer10_dissociation,k_O10_O9_forty*AB40_Oligomer10*VIS_brain,,AB40_Oligomer09,-,(k_O9_O10_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer09 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Oligomer09,-,AB40_Oligomer10_plaque_catalyzed_formation,k_O9_O10_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer09*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Oligomer09,-,(AB40_Oligomer09 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Oligomer09,-,AB40_Oligomer09_to_PVS,(1 - sigma_ISF_ABeta40_oligomer09)*Q_PVS*AB40_Oligomer09,,AB40_Oligomer09,-,((1 - sigma_ISF_ABeta40_oligomer09) * Q_PVS * AB40_Oligomer09 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Oligomer09_Antibody_bound,+,AB40_Oligomer09_antibody_binding,fta1*AB40_Oligomer09*Ab_t*VIS_brain,,AB40_Oligomer09_Antibody_bound,-,(AB40_Oligomer09_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Oligomer09_Antibody_bound,-,AB40_Oligomer09_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Oligomer09_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Oligomer09_Antibody_bound,+,fta1 * Antibody_unbound_ISF * AB40_Oligomer09,,,,,,,,,,,,,,
AB40_Oligomer09_PVS,+,AB40_Oligomer09_to_PVS,(1 - sigma_ISF_ABeta40_oligomer09)*Q_PVS*AB40_Oligomer09,,AB40_Oligomer09_PVS,-,(fta1 * C_Antibody_unbound_PVS * AB40_Oligomer09_PVS),,,,,,,,,,,,,,
AB40_Oligomer09_PVS,-,AB40_Oligomer09_PVS_binding,fta1*AB40_Oligomer09_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Oligomer09_PVS,+,(1 - sigma_ISF_ABeta40_oligomer09) * Q_PVS * AB40_Oligomer09 / V_PVS,,,,,,,,,,,,,,
AB40_Oligomer09_PVS,-,AB40_Oligomer09_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Oligomer09_PVS,,AB40_Oligomer09_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Oligomer09_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Oligomer09_PVS_bound,+,AB40_Oligomer09_PVS_binding,fta1*AB40_Oligomer09_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Oligomer09_PVS_bound,+,fta1 * C_Antibody_unbound_PVS * AB40_Oligomer09_PVS,,,,,,,,,,,,,,
AB40_Oligomer09_PVS_bound,-,AB40_Oligomer09_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Oligomer09_PVS_bound,,AB40_Oligomer09_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Oligomer09_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Oligomer10,+,AB40_Oligomer10_formation,k_O9_O10_forty*AB40_Oligomer09*AB40_Monomer*VIS_brain,,AB40_Oligomer10,+,k_O9_O10_forty * AB40_Monomer * AB40_Oligomer09,,,,,,,,,,,,,,
AB40_Oligomer10,-,AB40_Oligomer10_dissociation,k_O10_O9_forty*AB40_Oligomer10*VIS_brain,,AB40_Oligomer10,-,(k_O10_O9_forty * AB40_Oligomer10),,,,,,,,,,,,,,
AB40_Oligomer10,+,AB40_Oligomer10_plaque_catalyzed_formation,k_O9_O10_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer09*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Oligomer10,-,(k_O10_O11_forty * AB40_Monomer * AB40_Oligomer10),,,,,,,,,,,,,,
AB40_Oligomer10,-,AB40_Oligomer10_antibody_binding,fta1*AB40_Oligomer10*Ab_t*VIS_brain,,AB40_Oligomer10,+,k_O11_O10_forty * AB40_Oligomer11,,,,,,,,,,,,,,
AB40_Oligomer10,-,AB40_Oligomer10_microglia_clearance,Microglia_Vmax_forty*AB40_Oligomer10*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Oligomer10,+,k_O9_O10_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer09 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50)),,,,,,,,,,,,,,
AB40_Oligomer10,-,AB40_Oligomer11_formation,k_O10_O11_forty*AB40_Oligomer10*AB40_Monomer*VIS_brain,,AB40_Oligomer10,-,(fta1 * Antibody_unbound_ISF * AB40_Oligomer10),,,,,,,,,,,,,,
AB40_Oligomer10,+,AB40_Oligomer11_dissociation,k_O11_O10_forty*AB40_Oligomer11*VIS_brain,,AB40_Oligomer10,-,(AB40_Oligomer10 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Oligomer10,-,AB40_Oligomer11_plaque_catalyzed_formation,k_O10_O11_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer10*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Oligomer10,-,(k_O10_O11_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer10 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Oligomer10,-,AB40_Oligomer10_to_PVS,(1 - sigma_ISF_ABeta40_oligomer10)*Q_PVS*AB40_Oligomer10,,AB40_Oligomer10,-,((1 - sigma_ISF_ABeta40_oligomer010) * Q_PVS * AB40_Oligomer10 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Oligomer10_Antibody_bound,+,AB40_Oligomer10_antibody_binding,fta1*AB40_Oligomer10*Ab_t*VIS_brain,,AB40_Oligomer10_Antibody_bound,-,(AB40_Oligomer10_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Oligomer10_Antibody_bound,-,AB40_Oligomer10_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Oligomer10_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Oligomer10_Antibody_bound,+,fta1 * Antibody_unbound_ISF * AB40_Oligomer10,,,,,,,,,,,,,,
AB40_Oligomer10_PVS,+,AB40_Oligomer10_to_PVS,(1 - sigma_ISF_ABeta40_oligomer10)*Q_PVS*AB40_Oligomer10,,AB40_Oligomer10_PVS,-,(fta1 * C_Antibody_unbound_PVS * AB40_Oligomer10_PVS),,,,,,,,,,,,,,
AB40_Oligomer10_PVS,-,AB40_Oligomer10_PVS_binding,fta1*AB40_Oligomer10_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Oligomer10_PVS,+,(1 - sigma_ISF_ABeta40_oligomer010) * Q_PVS * AB40_Oligomer10 / V_PVS,,,,,,,,,,,,,,
AB40_Oligomer10_PVS,-,AB40_Oligomer10_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Oligomer10_PVS,,AB40_Oligomer10_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Oligomer10_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Oligomer10_PVS_bound,+,AB40_Oligomer10_PVS_binding,fta1*AB40_Oligomer10_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Oligomer10_PVS_bound,+,fta1 * C_Antibody_unbound_PVS * AB40_Oligomer10_PVS,,,,,,,,,,,,,,
AB40_Oligomer10_PVS_bound,-,AB40_Oligomer10_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Oligomer10_PVS_bound,,AB40_Oligomer10_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Oligomer10_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Oligomer11,+,AB40_Oligomer11_formation,k_O10_O11_forty*AB40_Oligomer10*AB40_Monomer*VIS_brain,,AB40_Oligomer11,+,k_O10_O11_forty * AB40_Monomer * AB40_Oligomer10,,,,,,,,,,,,,,
AB40_Oligomer11,-,AB40_Oligomer11_dissociation,k_O11_O10_forty*AB40_Oligomer11*VIS_brain,,AB40_Oligomer11,-,(k_O11_O10_forty * AB40_Oligomer11),,,,,,,,,,,,,,
AB40_Oligomer11,+,AB40_Oligomer11_plaque_catalyzed_formation,k_O10_O11_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer10*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Oligomer11,-,(k_O11_O12_forty * AB40_Monomer * AB40_Oligomer11),,,,,,,,,,,,,,
AB40_Oligomer11,-,AB40_Oligomer11_antibody_binding,fta1*AB40_Oligomer11*Ab_t*VIS_brain,,AB40_Oligomer11,+,k_O12_O11_forty * AB40_Oligomer12,,,,,,,,,,,,,,
AB40_Oligomer11,-,AB40_Oligomer11_microglia_clearance,Microglia_Vmax_forty*AB40_Oligomer11*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Oligomer11,+,k_O10_O11_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer10 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50)),,,,,,,,,,,,,,
AB40_Oligomer11,-,AB40_Oligomer12_formation,k_O11_O12_forty*AB40_Oligomer11*AB40_Monomer*VIS_brain,,AB40_Oligomer11,-,(fta1 * Antibody_unbound_ISF * AB40_Oligomer11),,,,,,,,,,,,,,
AB40_Oligomer11,+,AB40_Oligomer12_dissociation,k_O12_O11_forty*AB40_Oligomer12*VIS_brain,,AB40_Oligomer11,-,(AB40_Oligomer11 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Oligomer11,-,AB40_Oligomer12_plaque_catalyzed_formation,k_O11_O12_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer11*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Oligomer11,-,(k_O11_O12_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer11 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Oligomer11,-,AB40_Oligomer11_to_PVS,(1 - sigma_ISF_ABeta40_oligomer11)*Q_PVS*AB40_Oligomer11,,AB40_Oligomer11,-,((1 - sigma_ISF_ABeta40_oligomer011) * Q_PVS * AB40_Oligomer11 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Oligomer11_Antibody_bound,+,AB40_Oligomer11_antibody_binding,fta1*AB40_Oligomer11*Ab_t*VIS_brain,,AB40_Oligomer11_Antibody_bound,-,(AB40_Oligomer11_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Oligomer11_Antibody_bound,-,AB40_Oligomer11_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Oligomer11_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Oligomer11_Antibody_bound,+,fta1 * Antibody_unbound_ISF * AB40_Oligomer11,,,,,,,,,,,,,,
AB40_Oligomer11_PVS,+,AB40_Oligomer11_to_PVS,(1 - sigma_ISF_ABeta40_oligomer11)*Q_PVS*AB40_Oligomer11,,AB40_Oligomer11_PVS,-,(fta1 * C_Antibody_unbound_PVS * AB40_Oligomer11_PVS),,,,,,,,,,,,,,
AB40_Oligomer11_PVS,-,AB40_Oligomer11_PVS_binding,fta1*AB40_Oligomer11_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Oligomer11_PVS,+,(1 - sigma_ISF_ABeta40_oligomer011) * Q_PVS * AB40_Oligomer11 / V_PVS,,,,,,,,,,,,,,
AB40_Oligomer11_PVS,-,AB40_Oligomer11_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Oligomer11_PVS,,AB40_Oligomer11_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Oligomer11_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Oligomer11_PVS_bound,+,AB40_Oligomer11_PVS_binding,fta1*AB40_Oligomer11_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Oligomer11_PVS_bound,+,fta1 * C_Antibody_unbound_PVS * AB40_Oligomer11_PVS,,,,,,,,,,,,,,
AB40_Oligomer11_PVS_bound,-,AB40_Oligomer11_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Oligomer11_PVS_bound,,AB40_Oligomer11_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Oligomer11_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Oligomer12,+,AB40_Oligomer12_formation,k_O11_O12_forty*AB40_Oligomer11*AB40_Monomer*VIS_brain,,AB40_Oligomer12,+,2 * (k_F24_O12_forty * k_F24_F23_forty * AB40_Fibril24),,,,,,,,,,,,,,
AB40_Oligomer12,-,AB40_Oligomer12_dissociation,k_O12_O11_forty*AB40_Oligomer12*VIS_brain,,AB40_Oligomer12,+,k_O11_O12_forty * AB40_Monomer * AB40_Oligomer11,,,,,,,,,,,,,,
AB40_Oligomer12,+,AB40_Oligomer12_plaque_catalyzed_formation,k_O11_O12_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer11*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Oligomer12,-,(k_O12_O11_forty * AB40_Oligomer12),,,,,,,,,,,,,,
AB40_Oligomer12,-,AB40_Oligomer12_antibody_binding,fta1*AB40_Oligomer12*Ab_t*VIS_brain,,AB40_Oligomer12,-,(k_O12_O13_forty * AB40_Monomer * AB40_Oligomer12),,,,,,,,,,,,,,
AB40_Oligomer12,-,AB40_Oligomer12_microglia_clearance,Microglia_Vmax_forty*AB40_Oligomer12*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Oligomer12,+,k_O13_O12_forty * AB40_Oligomer13,,,,,,,,,,,,,,
AB40_Oligomer12,-,AB40_Oligomer13_formation,k_O12_O13_forty*AB40_Oligomer12*AB40_Monomer*VIS_brain,,AB40_Oligomer12,+,k_O11_O12_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer11 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50)),,,,,,,,,,,,,,
AB40_Oligomer12,+,AB40_Oligomer13_dissociation,k_O13_O12_forty*AB40_Oligomer13*VIS_brain,,AB40_Oligomer12,-,(fta1 * Antibody_unbound_ISF * AB40_Oligomer12),,,,,,,,,,,,,,
